"How are you doing?","Alles fit bei dir?","","","",""
"What's up?","Was gibt's?","","","",""
"Just kidding!","War nur Spaß!","","","",""
"Where is the bathroom?","Wo ist die Toilette?","","","",""
"The bill, please.","Können wir zahlen?","","","",""
"Keep the change","Stimmt so","","","",""
"Welcome!","Wilkommen!","","","",""
"How much is this?","Wieviel kostet das?","","","",""
"I don't understand.","Ich verstehe das nicht.","","","",""
"Could you repeat that, please?","Könntest du das bitte wiederholen?","","","",""
"I don't want it.","Ich will das nicht.","","","",""
"Let's go!","Los geht's!","","","",""
"I am full.","Ich bin satt.","","","",""
"Who is that?","Wer ist das?","","","",""
"Just a second. / Hold on.","Einen Moment.","","","",""
"Everything alright?","Alles in Ordnung?","","","",""
"Can I help you?","Kann ich dir helfen?","","","",""
"Help!","Hilfe!","","","",""
"Congratulations!","Alles Gute!","","","",""
"Get well soon","Gute Besserung","","","",""
