"tu va bien?","🇫🇷 Alles fit bei dir?","","",""
"Qu'est-ce qu'il y a?","🇫🇷 Was gibt's?","","",""
"bon appétit!","🇫🇷 Guten Appetit!","","",""
"très bon!","🇫🇷 Super lecker!","","",""
"Où est la toilette?","🇫🇷 Wo ist die Toilette?","","",""
"Tu étais où?","🇫🇷 Wo warst du?","","",""
"L'addition s'il vous plaît!","🇫🇷 Können wir zahlen?","","",""
"C'est combien?","🇫🇷 Wieviel kostet das?","","",""
"Je suis repu!","🇫🇷 Ich bin satt.","","",""
"Je n'ai pas d'argent.","🇫🇷 Ich habe kein Geld.","","",""
"C'est qui?","🇫🇷 Wer ist das?","","",""
"Où est-ce que on doit aller?","🇫🇷 Wo sollen wir hingehen?","","",""
"Un moment.","🇫🇷 Einen Moment.","","",""
"Tous va bien?","🇫🇷 Alles in Ordnung?","","",""
"Je peut t'aider?","🇫🇷 Kann ich dir helfen?","","",""
"à toute de suite!","🇫🇷 Bis dann!","","",""
"Au secours!","🇫🇷 Hilfe!","","",""
"Joyeux anniversaire!/ Mes meilleurs voeux!","🇫🇷 Alles Gute!","","",""
"Je suis fatigué.","🇫🇷 Ich bin müde.","","",""
"Bonne rétablissement!","🇫🇷 Gute Besserung","","",""
